Isolate_Id	Amikacin (AMI)	Meropenem (MER)	Levofloxacin	Colistin (COL or CST)	Cefepime (FEP)	Piperacillin	Polymyxin B	Fosfomycin	Chloramphenicol	Ciprofloxacin (CIP)	Ticarcillin (TIC)	Piperacillin/tazobactam (PIP/TZ)	Ceftazidime (CAZ)	Ceftolozane/tazobactam (TOL/TZ)	AztreoNAm (ATM) 	Imipenem (IMI)	Tobramycin (TOB)	Doripenem	Gentamicin
AZPAE14898	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14899	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14900	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14901	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14902	I	R	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14903	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14904	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14905	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14906	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14907	S	I	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14908	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14909	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14910	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14911	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14912	I	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14913	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14914	S	S	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14915	S	S	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14916	R	R	I	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14917	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14918	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14919	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14920	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14921	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14922	R	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14923	R	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14924	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14925	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14926	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14927	S	S	S	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14928	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14929	R	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14930	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14931	S	R	I	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14932	S	R	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14933	I	S	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14934	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14935	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14936	S	S	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14937	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14938	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14939	S	R	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14940	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14941	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14942	S	R	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14943	S	S	S	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14944	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14945	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14946	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14947	S	R	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14948	S	R	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14949	I	R	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14950	S	S	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14951	R	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14952	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14953	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14954	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14955	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14956	R	R	I	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14957	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14958	R	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14959	R	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14960	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14961	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14962	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14963	S	R	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14964	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14965	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14967	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14968	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14969	S	S	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14970	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14971	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14972	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14973	S	I	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14974	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14975	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14976	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14977	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14978	S	I	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14979	S	S	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14980	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14981	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14982	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14983	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14984	R	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14985	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14986	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14987	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14988	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14989	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14990	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14991	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14992	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14993	S	S	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14994	S	R	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14995	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14996	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14997	S	S	I	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14998	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE14999	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15000	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15001	S	R	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15002	R	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15003	R	R	I	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15004	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15005	S	S	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15006	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15007	S	S	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15008	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15009	S	S	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15010	S	S	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15011	S	I	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15012	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15013	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15014	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15015	S	S	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15016	S	S	I	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15017	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15018	S	S	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15019	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15020	S	R	I	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15021	R	S	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15022	S	S	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15023	S	R	I	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15024	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15025	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15026	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15027	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15028	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15029	R	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15030	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15031	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15032	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15033	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15034	S	S	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15035	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15036	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15037	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15038	S	I	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15039	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15040	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15041	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15042	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15043	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15044	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15045	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15046	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15047	R	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15048	S	I	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15049	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15050	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15051	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15052	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15053	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15054	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15055	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15056	S	R	I	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15057	S	S	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15058	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15059	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15060	S	S	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15061	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15062	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15063	R	S	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15064	S	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15065	I	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15066	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15067	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15068	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15069	S	R	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15070	S	R	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15071	S	R	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZPAE15072	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07060	S	S	S	S	S	S	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07056	S	S	S	S	I	R	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07053	R	I	S	S	S	R	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07058	S	S	S	S	S	S	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07055	S	S	S	NA	I	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07074	S	S	S	NA	S	R	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07057	S	R	R	NA	R	R	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07065	S	S	S	NA	R	R	S	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07068	S	I	S	NA	I	R	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07049	S	S	S	NA	S	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07067	S	S	S	NA	S	R	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07073	R	S	S	NA	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07071	R	I	S	NA	R	R	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07054	S	S	S	NA	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07063	S	S	S	NA	S	S	S	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07070	S	S	I	NA	S	S	S	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07061	S	S	R	S	I	R	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07062	S	S	R	S	I	R	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07064	S	S	R	S	S	R	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07051	S	S	R	S	S	R	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07072	S	S	R	S	I	R	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07066	S	S	R	S	I	R	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07069	S	R	R	S	R	R	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07059	S	R	I	S	S	R	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07050	I	I	S	S	I	R	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07165	I	R	R	S	R	R	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07166	S	I	S	S	S	S	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07167	S	R	R	S	I	R	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07168	S	R	R	I	I	R	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07169	S	R	R	S	S	R	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07170	S	R	R	S	I	R	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07171	S	R	R	I	S	S	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07172	S	I	S	S	S	S	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07173	S	R	R	S	S	R	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07174	S	R	R	S	S	R	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07175	S	R	R	S	S	S	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07176	S	I	S	S	S	R	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07177	S	I	I	S	I	R	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07178	S	R	S	S	S	R	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07179	I	S	R	S	S	I	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07180	S	S	R	I	S	R	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07221	S	R	R	S	S	R	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07181	R	I	I	S	R	R	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07182	S	S	I	R	S	S	R	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07183	S	I	I	S	I	R	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07184	S	S	S	S	S	R	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07185	S	S	S	S	S	S	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07186	S	I	I	S	I	R	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07187	S	S	S	S	S	S	S	S	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07188	S	S	S	S	S	S	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07222	S	S	S	S	S	S	S	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WH-SGI-V-07223	S	S	S	S	S	S	S	I	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
